net,length_um
net82,20.66
instance_1.mem\[0\]\[49\],20.58
_0639_,20.545
instance_1.mem\[2\]\[61\],20.505
instance_1.mem\[2\]\[65\],20.505
instance_1.mem\[0\]\[24\],20.38
instance_1.mem\[2\]\[58\],20.32
_1377_,20.28
instance_0.mem\[0\]\[50\],20.28
instance_0.mem\[3\]\[61\],20.28
instance_1.mem\[3\]\[21\],20.255
instance_0.mem\[0\]\[30\],20.24
instance_1.mem\[3\]\[19\],20.24
instance_1.mem\[0\]\[20\],20.22
instance_1.mem\[0\]\[66\],20.14
_1149_,19.94
instance_1.mem\[3\]\[42\],19.92
_1116_,19.9
instance_0.mem\[1\]\[21\],19.9
instance_1.mem\[0\]\[36\],19.9
wdata[30],19.9
instance_1.mem\[1\]\[4\],19.84
_1075_,19.82
instance_0.mem\[0\]\[60\],19.7
instance_0.mem\[3\]\[11\],19.66
_1063_,19.6
instance_0.mem\[2\]\[61\],19.6
instance_1.mem\[3\]\[53\],19.58
instance_1.mem\[2\]\[4\],19.56
instance_1.rdata\[46\],19.54
instance_1.mem\[1\]\[54\],19.46
instance_1.mem\[0\]\[6\],19.34
net108,19.3
wdata[23],19.21
instance_0.mem\[0\]\[37\],19.2
instance_1.mem\[3\]\[26\],19.14
rdata[19],19.13
instance_0.mem\[3\]\[1\],19.12
instance_1.mem\[3\]\[40\],19.12
instance_0.mem\[0\]\[44\],19.04
instance_1.rdata\[23\],19.04
instance_0.mem\[0\]\[13\],19.02
instance_0.mem\[3\]\[26\],19
instance_1.rdata\[54\],18.98
instance_1.mem\[1\]\[8\],18.96
instance_0.mem\[1\]\[3\],18.94
instance_0.mem\[0\]\[40\],18.92
wdata[49],18.92
net88,18.86
wdata[29],18.83
instance_1.mem\[0\]\[67\],18.82
wdata[42],18.82
net143,18.82
instance_1.mem\[2\]\[31\],18.81
instance_1.mem\[2\]\[64\],18.78
instance_1.mem\[0\]\[0\],18.76
instance_1.mem\[0\]\[59\],18.74
_1311_,18.735
instance_1.mem\[1\]\[20\],18.66
instance_1.mem\[0\]\[17\],18.56
_0996_,18.54
rdata[23],18.53
net547,18.42
_1214_,18.4
instance_0.rdata\[24\],18.36
instance_1.mem\[3\]\[47\],18.36
instance_0.mem\[1\]\[63\],18.3
instance_1.mem\[2\]\[8\],18.3
instance_1.mem\[2\]\[6\],18.245
instance_0.mem\[2\]\[41\],18.24
instance_1.mem\[2\]\[53\],18.145
_1403_,18.14
instance_1.mem\[0\]\[23\],18.12
_1006_,18.1
_1080_,18.06
_0968_,18.04
instance_0.mem\[0\]\[63\],18.04
_1012_,18
net109,17.94
instance_0.mem\[1\]\[18\],17.9
instance_0.mem\[0\]\[19\],17.86
instance_0.mem\[1\]\[48\],17.86
_0984_,17.84
instance_1.mem\[3\]\[22\],17.82
net116,17.8
_1121_,17.78
instance_1.mem\[3\]\[13\],17.705
instance_1.mem\[2\]\[0\],17.685
_0998_,17.68
instance_0.mem\[1\]\[44\],17.66
instance_0.mem\[1\]\[52\],17.62
_1052_,17.54
instance_0.mem\[3\]\[44\],17.5
instance_1.mem\[1\]\[61\],17.5
instance_1.mem\[3\]\[11\],17.475
_1787_,17.46
_1004_,17.44
net233,17.44
_1234_,17.42
